year,release_date,category,genre,title,creator,title_image,introduction,country_category,country_name,video,production,distribution,grade,runtime,remake,cast,staff,series,trilogy,soundtrack,ref_video,read_count,scrape_count,,,
2007,2007.12.10,애니메이션,-,한자왕 주몽,-,http://data5.onnada.com/anime/201102/thumb300x400_2048931622_0cf7066b_25C125F97E1.JPG,줄거리를 등록하여주세요.,국내,한국,ZBPgiwJ4pgI,-,-,,-,-, 주몽 (JUMONG),-,-,26,-,8HYY-azTnr4,0,0,,,
2007,2007.12.03,애니메이션,"액션,공포,미스테리",아야카시,감독-타카다 쥰,http://data5.onnada.com/anime/201211/thumb300x400_2077629024_8d838d6d_1.jpg,-,해외,일본,FLYZxGO_67I,Tokyo Kids,-,19,-,Apricot, 쿠사카 유우 (KUSAKA YUU)|久坂悠 / 성우 : 키시오 다이스케 (KISHIO DAISUKE)|岸尾だいすけ @요아케 에이무 (YOAKE EIMU)|夜明エイム / 성우 : 미즈키 나나 (MIZUKI NANA)," 각본-코노 타카미츠 @캐릭터 디자인-코바야시 타카시, 타키가와 카즈오",-,-,-,uUVo6vJYUOo,0,0,,,
2007,2007.11.05,애니메이션,-,다오배찌 붐힐대소동,-,http://data5.onnada.com/anime/201104/thumb300x400_1948287903_3d79f18a_1.jpg,줄거리를 등록하여주세요.,국내,한국,-,-,-,,-,-, 다오 (DAO),-,-,52,-,4JGAQ_C24lw,0,0,,,
2007,2007.10.18,애니메이션,미스테리,신령사냥 GHOST HOUND,감독-나카무라 류타로,http://data5.onnada.com/anime/201310/thumb300x400_2077629048_bed785d2_1.jpg,"'투영된 세계(우츠시요)'라 불리는 현세(現世)에는 지금처럼 과학기술이 발달하기 훨씬 이전부터 다른 세계가 겹쳐져 있다고 한다.@ 우리가 보고 듣고 만질 수 있는, 우리의 눈에 비치고 있는 이 현세와 달리 또 하나의 세계는 이면에 감추어진 '숨겨진 세계(카쿠리요)'라 할 수 있다.@ '영세(幽世)'라 불리는 또 하나의 세계를 체험할 수 있는 것은 극히 한정된 이들 뿐.@이곳에 영세를 보고 느낄 수 있는 아이들이 있었다.@ 자연으로 둘러싸인 고즈넉한 분위기의 이 작은 시골 마을에 살고 있는 중학생 소년 코모리 타로, 오오가미 마코토, 나카지마 마사유키.@ 이 세 소년들은 저마다 떨쳐내기 힘든 괴로운 과거를 지니고 있었다.@ 그 힘겨운 과거 때문인지, 아니면 또다른 이유가 있어서인지는 몰라도 이들은 O.@B.@E.@(체외이탈체험), 다시 말해 영혼이 일시적으로 몸에서 빠져나가는 현상을 통해 영세와 현세를 오갈 수 있게 되었다.@ 소년들은 영세를 떠돌면서 그곳이 어디로 이어져 있는지를 점차 깨닫게 되고, 영세에 갈 수는 없지만 영세를 볼 수는 있는 소녀 미야코까지 더해져, 아이들은 자신들의 과거를 둘러싼 가혹한 진실에 점차 가까워져 가는데.@.@.",해외,일본,-,프로덕션 I.G,-,15,-,"시로우 마사무네, 프로덕션 I.G",-, 각본-코나카 치아키 @캐릭터 디자인-오카 마리코,-,22,-,h6-kETedHFI,0,0,,,
2007,2007.10.14,애니메이션,"드라마,미스테리",시온의 왕,감독-카와세 토시후미,http://data5.onnada.com/anime/201310/thumb300x400_2077629048_7e46bfd8_1.jpg,"어떤 가족을 덮친 비극.@.@.@ 부부는 참혹하게 살해당하고 어린 딸만이 홀로 살아남았다.@ 그 충격으로 인해 말을 잃어버린 소녀 시온은 사건 후 옆집에 사는 프로 장기 기사의 집에 맡겨지게 된다.@ 마치 운명의 실에 끌려가듯이 장기를 접하게 된 시온은 자신이 살아나가기 위한 수단으로 '장기'를 선택하게 된다.@시온은 12세가 되어 프로 장기 기사로 입문하고, 프로의 세계에서 만나게 된 친구들과 라이벌들은 시온에게 있어 소중한 인연으로 작용하면서 도전 정신을 일깨워 준다.@ 그러나 평화로운 일상은 머지않아 산산히 부서진다.@ 8년 전의 비극, 처참한 사건의 기억이 다시금 시온을 잡아끌고 있는 것이다.@ 왜 부모님은 죽어야만 했는가? 왜 시온만이 홀로 살아 남은 것인가? 그리고 왜 시온의 목소리가 봉인되고 만 것인가.@.@.@? 베일에 가려진 시온의 과거는 서서히 그녀를 죄어들어 오는데.@.@.",해외,일본,2HOfsrhTz_I,스튜디오 딘,-,15,-,카토리 마사루,-, 각본-야마다 타카시 @캐릭터 디자인-누마타 세이야,-,12,-,6uQ4Sjp879s,0,0,,,
2007,2007.10.12,애니메이션,"드라마,코미디",모야시몬,감독-야노 유이치로,http://data5.onnada.com/anime/201310/thumb300x400_2077629048_b4d7168b_-22399.jpg,"주인공 사와키 소우에몬 타다야스는 공기 중의 세균이 눈에 보이는 특이한 체질의 소유자이다.@ 누룩 곰팡이를 띄우는 일을 하는 집에서 자란 그는, 어릴 적부터 친구인 술집 아들 유우키 케이와 함께 농업대학에 진학하기 위해 토쿄로 상경했다.@ 입학식 당일, 할아버지의 메모에 적혀 있던 이츠키라는 인물을 만나러 간 두 사람.@ 할아버지와 오랜 지인이라는 이츠키는 균에 대해서 이야기하기 시작하면 끝이 없는 조금은 기이한 노교수였다.@ 그 후 이츠키의 연구실에 드나들게 된 사와키는 새로운 균과 발효의 세계에 매료되면서, 그를 둘러싼 개성 넘치는 인물들과의 만남에 의해 여러가지 소동에 이끌리는데.@.@.",해외,일본,p06Ep0lErEE,"텔레콤 애니메이션 필름, 시로구미",-,12,-,이시카와 마사유키,-, 각본-타카하시 나츠코 @캐릭터 디자인-타카오카 쥰이치,-,11,-,vU1DWeqgLk4,0,0,,,
2007,2007.10.12 01:30 (금),애니메이션,"학원,로리,하렘",아이들의 시간,감독-스가누마 에이지,http://data5.onnada.com/anime/202004/thumb300x400_2070905244_61317bcc_1.jpg,"학기 도중에 후타츠바시 초등학교에 부임한 아직 대학교를 졸업한 지 얼마 되지 않은 신참 청년교사 아오키 다이스케.@부임 후 바로 3학년 1반의 담임이 되었지만, 이 반은 어떤 문제로 인해 전임 교사가 그만둔 곳이기도 했다.@아오키는 앞으로 학급을 잘 이끌어 갈 수 있을 것인가?",해외,일본,jmU-uTbM1G0,Studio Barcelona,-,19,-,와타시야 카오루, 아오키 다이스케 (Daisuke Aoki) / 성우 : 마지마 쥰지 (MAJIMA JUNJI)|間島淳司, 각본-오카다 마리 @캐릭터 디자인-이시카와 마사카즈,-,12,-,-,0,0,,,
2007,2007.10.10,애니메이션,"드라마,코미디",현시연 2,감독-요시모토 킨지,http://data5.onnada.com/anime/201310/thumb300x400_2077629048_8afc322f_1.jpg,현대 시각 문화 연구회에서 벌어지는 이야기를 그린 애니메이션,해외,일본,UdsLhf6uzz8,Arms,-,12,-,키오 시모쿠,-, 각본-요코테 미치코 @캐릭터 디자인-야나기다 요시아키,-,12,-,Ve1bvD9sR8Q,0,0,,,
2007,2007.10.08,애니메이션,"드라마,코미디,학원",미나미가,감독-오오타 마사히코,http://data5.onnada.com/anime/201211/thumb300x400_2077629024_dcfe3eb0_1.jpg,"월요일 아침은 밥, 월요일 저녁은 파스타.@ 귤은 상자째로 살 것.@.@.@ 어느 순간 생겨난 작은 규칙들의 반복이 일상으로 이어진다.@ 집에서, 또는 학교에서 일어나는 시끌벅적한 소동들은 평범한 일상에 자극을 부여하는 즐거운 이벤트이다.@ @이것은 평범한 듯 평범하지 않은 미나미가의 세 자매 하루카, 카나, 치아키의 이야기.@ 그리고 세 자매와 함께하는 소중한 사람들(그다지 소중하지 않은 사람도 있을지 모르지만!)의 유쾌한 일상 드라마이다.@ ",해외,일본,N3g8wXCSDpY,도우무,-,12,-,사쿠라바 코하루, 미나미 하루카 (MINAMI HARUKA)|南春香 / 성우 : 사토 리나 (SATOU RINA)|佐藤利奈 (さとうりな), 각본-아오시마 타카시 @캐릭터 디자인-오치 신지,-,13,-,F32gqwHr8fo,0,0,,,
2007,2007.10.08,애니메이션,"마법,능력,액션",렌탈 마법사,감독-카와사키 이츠로,http://data5.onnada.com/anime/201210/thumb300x400_A1710_2077629024_e7864a58_1.jpg,"작가가 원고를 쓰기 전에 각 권의 주제와 관련된 마법 지식들을 작품 내에 넣는다고 한다.@ 또한 마법이 만능이 아니라는 대전제가 깔려있기에 각종 마법은 주저대가, 주적기술, 위험도가 있으며 이는 마법에 따라 각기 다르다.@ 양판소의 마법을 생각하고 보면 괴리감이 있다.@ 마법에 관한 지식은 캐릭터성을 추구하는 작품인 어떤 마술의 금서목록과는 상대가 안 될 정도로 방대하고 근원적이다.@ 전 세계에 존재하는 마술에 대한 소문과 이야기를 최대한 수집하고 통합하여 체계적으로 정리하였다.",해외,일본,G7pHh-a8ypo,Zexcs,-,15,-,산다 마코토, 이바 이츠키 (ITSUKI IBA) / 성우 : 후쿠야마 쥰 (FUKUYAMA JUN)|福山潤 (ふくやまじゅん)," 각본-이케다 마미코, 산다 마코토 @캐릭터 디자인-시바 미나코",-,24,-,19w1Ungxrd4,0,0,,,
