year,release_date,category,genre,title,creator,title_image,introduction,country_category,country_name,video,production,distribution,grade,runtime,remake,cast,staff,series,trilogy,soundtrack,ref_video,read_count,scrape_count
2010,2010.12.29,애니메이션,"코미디, 학원, 하렘",레이디 X 버틀러,감독-오오츠키 아츠시,http://data5.onnada.com/anime/201303/thumb300x400_2077629024_a64ffe28_1.jpg,"초등학생이던 무렵 돌아가신 부모님을 대신해 작은아버지의 집에서 머무르던 히노 아키하루는, 어느 날 텔레비전을 통해 봤던 초 명문 여학교인 하쿠레이료 학원에 신설된 시종육성과 과정에 편입하기로 결의하고, 입학 시험에 합격한다.@ 그러나 험악한 외모로 의도하지 않게 학생들이 그를 무서워하게 만들어버린 무렵, 초등학생 시절 같은 반 친구로 그에게 수많은 트라우마를 양산한 사이쿄 토모미와 재회한다.@ 세르니아 이오리 프레임하트에게는 불가항력으로 벌어진 일 때문에 수상한 사람 취급을 받으며 쫓기게 되는 입장에 처하게 되는 등 여러모로 꼬이는데.@.@.@ 그렇지만 아키하루는 조금씩 학교에 익숙해지기 시작하고, 주위의 인간 관계도 서서히 변화해 나가기 시작한다.",해외,일본,WuRRwqQgqXg,제작사-Xebec,-,19,-,원작코우즈키 츠카사, 히노 아키하루 (HINO AKIHARU)|日野秋晴 / 성우 : 오키츠 카즈유키 (OKITSU KAZUYUKI)|興津和幸, 각본-타마이 츠요시 캐릭터 디자인-타카미 아키오 음악-하네오카 케이,-,12,-,JIuRP_HMU0o,0,0
2010,2010.12.22,애니메이션,SF,고스트 메신저,-,http://data5.onnada.com/anime/201105/thumb300x400_A1285_460819560_51c10f3e_K-967.jpg,"한국 애니메이션 계에 새로운 가능성을 제시해 줄 판타지 애니메이션이 등장했다.@ 이는 국내 애니메이션 제작사 '스튜디오 애니멀'이 2010년 12월 22일부터 공개한 고스트 메신저정식 공개 이전부터 이미 인터넷을 통해 2분 분량의 파일럿 영상이 공개되면서 폭발적인 반응과 함께 입소문을 얻어왔던 작품으로, 국내에서는 보기 드문 OVA 형식으로 제작되어 DVD로 발매되기에 이르렀다.@ 는 저승사자들이 디지털화된 귀신들을 휴대폰으로 소환하여 전투를 벌인다는 콘셉트로, 한국 고유의 사후세계관인 저승세계와 SF를 결부시킨 독특한 세계관과 탄탄한 스토리를 자랑한다.@ 그간 대부분의 작품들이 전체연령가의 TV 방영용 작품으로 제작되어 온 국산 애니메이션계의 현실에서는 어린이들이 내용을 이해하기 쉽고 눈에 잘 띄는 작품들이 주류를 이루었으나, 는 OVA 발매를 목표로 한 만큼 보다 높은 연령층의 애니메이션팬들을 공략할 수 있는 화려한 액션과 화면 연출을 선보인다.@@Opening -Connexion- 노래 : 아웃사이더@Ending -track09- 노래 : 이소라",국내,일본,mpJ98q0n3ZQ,-,-,12,-,-, 꼬마강림,-,-,6,-,Z8is3TsQN0I,0,0
2010,2010.12.12 01:23 (일),애니메이션,미스테리,GOSICK,감독-난바 히토시,http://data5.onnada.com/anime/201012/thumb300x400_1026054309_af5dd931_11.jpg,"동양의 모 국에서 유럽의 작은 나라 소뷔르에 있는 성 마르그리트 학원으로@유학을 온 쿠죠 카즈야는 좀처럼 학교 생활에 적응하지 못한 채로 겉돌고만 있었다.@그러던 어느날 도서관에 갔던 카즈야는 신비한 소녀 빅토리카를 만나게 된다.@수업에도 나오지 않고 언제나 도서관 최상층에 있는 식물원에서 책을 읽고 있는 빅토리카는 마치@프랑스 인형과도 같은 아름다운 외모 이외에도 놀랄만큼 명석한 두뇌와 압도적인 지식량을 자랑한다.@카즈야가 보기에는 우선 빅토리카부터가 수수께끼로 가득하지만, 빅토리카는 그저 무료함을@달랠 뿐이라며 주위에서 일어나는 여러가지 기이한 사건들을 하나씩 풀어 보이는데....",해외,일본,QMFLC-SKtFs,제작사-본즈,-,15,-,원작사쿠라바 카즈키, 빅토리카 (VICTORIQUE)|ヴィクトリカ / 성우 : 유우키 아오이 (YUUKI AOI)|悠木碧," 각본-오카다 마리 캐릭터 디자인-토미오카 타카시, 카와모토 토시히로 음악-나카가와 코타로",-,24,-,iOrkj_MFXm8,0,0
2010,2010.12.12,애니메이션,액션,울버린,감독-아오야마 히로시,http://data5.onnada.com/anime/201303/thumb300x400_2077629024_8c43eb6e_1.jpg,줄거리를 등록하여주세요.,해외,일본,NDAJz4rF_1M,제작사-매드하우스,-,15,-,원작Marvel Comics, - , 각본-카지 켄고 캐릭터 디자인-아베 히사시 음악-타카하시 테츠야,-,12,-,-,0,0
2010,2010.12.12,애니메이션,"드라마, 학원",Starry-Sky,감독-타카모토 노부히로,http://data5.onnada.com/anime/201303/thumb300x400_2077629024_68de94e4_1.jpg,"Starry☆Sky는 성월학원을 무대로 유일한 여학생이 주인공이 되어, 12별자리의 특징을 가진 남자 캐릭터들과의 연애를 그린 작품이다.@ 원화 캐릭터 디자인은 카즈아키가 담당하고 있다.@@HONEY BEE가 기획한 드라마CD, 게임등의 여성향 미디어 믹스 작품 시리즈이다.",해외,일본,vZ863inffkE,제작사-스튜디오 딘,-,12,-,원작Honeybee, 토모에 요우 (TOMOE YOH)|土萌 羊 / 성우 : 미도리카와 히카루 (MIDORIKAWA HIKARU)|?川光, 각본-나카무라 마코토 캐릭터 디자인-후지이 마키 음악-키쿠야 토모키,-,26,-,-,0,0
2010,2010.12.12,애니메이션,"능력, 코미디, 학원, 하렘",기어와라 냐루코양-,감독-타니 아즈마,http://data5.onnada.com/anime/201303/thumb300x400_2077629024_16e73683_1.png,줄거리를 등록하여주세요.,해외,일본,iBTDg5O9Bmk,제작사-DLE,-,12,-,원작아이소라 만타, 냐루코|ニャル子 / 성우 : 아스미 카나 (ASUMI KA-)|阿澄佳奈,-,-,11,-,1ZRq-FlmDT4,0,0
2010,2010.12.04,애니메이션,"드라마, 메카닉, 액션, SF, 전쟁",장갑기병 보톰즈 파인더,-,http://data5.onnada.com/anime/201107/thumb300x400_A1552_2042247640_6b60fd6c_Votoms_Finder-OVA-Poster01.jpg,"두번째로 등장한 보톰즈 파인더는 기존의 보톰즈 세계관과는 전혀 다른 세계를 다룬, 이제까지 등장한 보톰즈 시리즈 중 가장 이채로운 색체를 보여주는 작품이라고 할 수 있다.@ 판타지에 가까운 세계에서 벌어지는 이야기로, 이제까지의 보톰즈가 전쟁 드라마였다면 이 작품은 보다 가볍고 상쾌한 액션 어드벤쳐의 형식을 취한 것으로 보인다.@ 이런 밝은(?) 전개는 이제까지의 보톰즈와는 사뭇 이질적인 느낌이겠지만 신선한 시도라는 점에서 긍정적인 평가를 내리고 싶다.@ 감독이자 메카닉 디자인을 맡은 시게타 아츠시가 '오버맨 킹게이너(2002)'의 작화감독으로 참여한 이력 때문인지 새롭게 디자인된 장갑기병의 모습에는 왠지 킹게이너의 흔적이 느껴지기도 한다.@ 기존의 보톰즈 시리즈에 비해 좀더 로봇 아니메의 느낌에 충실한 작품이 될 것으로 기대된다.",해외,일본,4SSHLsl4eqI,-,-,12,-,-, - ,-,-,1,-,-,0,0
2010,2010.11.26,애니메이션,"액션, 능력, SF, 메카닉, 신, 드래곤, 군, 배틀, 전쟁, 전투, 변신, 모험",트랜스포머 프라임,-,http://data5.onnada.com/anime/201507/thumb300x400_3696359636_a731b99d_cNovel.jpg,오토봇과 디셉티콘의 싸움,해외,일본,72QYZZDt6cc,-,-,12,-,-, 옵티머스 프라임 (OPTIMUS PRIME)|オプティマス?プライム / 성우 : 모리카와 토시유키 (MORIKAWA TOSHIYUKI)|森川智之,-,-,65,-,-,0,0
2010,2010.10.15,애니메이션,드라마,해파리 공주,감독-오오모리 타카히로,http://data5.onnada.com/anime/201303/thumb300x400_2077629024_4cdb4c3c_1.jpg,줄거리를 등록하여주세요.,해외,일본,OymflhSbYjQ,제작사-브레인즈 베이스,-,12,-,원작히가시무라 아키코, 쿠라시타 츠키미 |倉下月海 / 성우 : 하나자와 카나 (HA-ZAWA KA-)|花澤香菜 (はなざわかな), 각본-하나다 쥬키 캐릭터 디자인-하야마 켄지 음악-요시모리 마토코,-,11,-,-,0,0
2010,2010.10.08 23:30 (금),애니메이션,"학원, 판타지, SF, 능력, 액션, 배틀",어떤 마술의 금서목록 Ⅱ,감독-니시키오리 히로시,http://data5.onnada.com/anime/201303/thumb300x400_2077629024_27ba8d29_1.jpg,"전설의 마술사가 기록한, 천사를 소환할 수 있다는 경이의 마도서「법의 서」가 해독법을 아는 수녀와 함께 도난당했다.@그것도 학원도시에서 멍-하니 일상을 보내고 있던 카미조 토우마에게는 전혀 상관없는 사건-일 줄 알았는데@'불행'하게도 왠지 그 구출전에 가담하게 되고….@게다가 납치한 범인은 '아마쿠사식 크리스트 처교', 즉 칸자키 카오리가 프리스테스(여교황)으로 있던 종파라고 하는데?!",해외,일본,NLywdDAEXds,제작사-J.C.Staff,-,15,-,원작카마치 카즈마, 카미죠 토우마 (KAMIJOU TOUMA)|上??麻 / 성우 : 아베 아츠시 (ABE ATSUSHI)|阿部敦,-,-,-,-,-,0,0
