,year,release_date,category,genre,title,creator,title_image,introduction,country_category,country_name,video,production,distribution,grade,runtime,remake,cast,staff,awards,series,soundtrack,amount,ref_video
1,-,-,영화,드라마,나의 어머니,강병문  박종,https://ssl.pstatic.net/static/movie/2012/06/dft_img77x110_1.png,전형적인 한국의 어머니상을 그린 드라마,국내,한국,https://www.youtube.com/watch?v=vvAA-VD2EeA,-,-,-,-,-,김영옥 김용림 남능미 강부자 김동현 전인화 정혜선 나문희 ,  이재우 (각본) 최성실 (각본) 배명숙 (각본),-,-,-,       -,https://www.youtube.com/watch?v=h4xJB5XT7GE
2,1990,1990 .12.15 개봉,영화,"액션, 코미디, 드라마",나이트 클럽,미하엘 쿠쉬,https://ssl.pstatic.net/static/movie/2012/06/dft_img77x110_1.png,-,해외,미국,https://www.youtube.com/watch?v=xfwAkLd3hmI,중앙시네마,-,청소년 관람불가,81분,-,에드 트로타 피터 주러식 엘리자베스 케이턴 ,  미하엘 쿠쉬 Michael Keusch (각본) 스티븐 J. 울프 Steven J. Wolfe (제작책임) 마크 헤들리 Mark Headley (제작),-,-,-,     ,https://www.youtube.com/watch?v=ICxv9HNANcc
3,1990,1990 .08.04 개봉,영화,"공포, 스릴러",나이트메어 5 - 꿈꾸는 아이들,스티븐 홉킨스,https://movie-phinf.pstatic.net/20111222_184/1324542308337tDsuL_JPEG/movie_image.jpg,"앨리스는 이제 고등학교를 졸업하지만 또다시 악몽을 꾸기 시작한다. 하지만 꿈에 대한 조절 능력으로 프레디를 만날 수는 없지만, 다시 모습을 드러낸 프레디는 현실에도 나타나 댄을 교통 사고로 죽게 하고, 또다른 친구들의 목숨도 가져간다. 또한 수법을 바꿔 임신한 앨리스의 뱃속에 있는 태아의 꿈을 이용하자, 전과 달리 속수무책으로 프레디의 살인 행각을 지켜 볼 수 밖에 없는 앨리스는 어느 날 꿈 속에서 본 미치광이 수용소와 아만다 수녀의 사건을 떠올린다. 아만다 수녀는 미치광이 수용소에서 겁탈당해 결국 괴물 프레디를 낳고 막힌 공간에서 불행한 생활을 하고 있다. 프레디를 처치할 수 있는 사람은 오직 아만다 수녀라는 생각을 한 앨리스는 그녀를 찾아나선다. 결국 프레디와 마주친 앨리스는 용감히 맞서는데..",해외,미국,https://www.youtube.com/watch?v=Ofa29w8RYgI,-,-,청소년 관람불가,110분,-,대니 하셀 켈리 조 민터 리사 윌콕스 로버트 잉글런드 ,  로버트 샤이 Robert Shaye (제작) 루퍼트 하비 Rupert Harvey (제작) 사라 리셔 Sara Risher (기획) 존 터틀 Jon Turtle (기획) 피터 레비 Peter Levy (촬영) C.J. 스트로운 C.J. Strawn (미술) 앨런 먼로 Alan Munro (특수효과) 척 웨이스 Chuck Weiss (편집),배우/제작진 수상 이력@수상정보 테이블표@1990@제 10회 골든 라즈베리 시상식@수상@최악의 주제가상 ( "Bring Your Daughter to The Slaughter"")",-,-,        ,https://www.youtube.com/watch?v=Bs9jrxu_MIQ
4,1990,1990 .08.18 개봉,영화,공포,나이트메어 비치,움베르토 렌지,https://movie-phinf.pstatic.net/20181210_129/1544435338067Manhq_JPEG/movie_image.jpg,-,해외,미국,https://www.youtube.com/watch?v=12DkfrYyCJ8,대동영화사,-,15세 관람가,90분,-,존 색슨 마이클 팍스 랜스 르걸트 사라 벅스턴 니콜라스 드 토스 ,  움베르토 렌지 Umberto Lenzi (각본) 움베르토 렌지 Umberto Lenzi (원안) 윌리엄 J. 임머맨 William J. Immerman (제작) 클라우디오 시모네티 Claudio Simonetti (음악) 빌리 다모타 Billy Damota (배역),-,-,-,        -,https://www.youtube.com/watch?v=9pjv_HLpqJY
5,1990,1990 .09.29 개봉,영화,"멜로/로맨스, 드라마",난 깜짝 놀랄 짓을 할거야,이규형,https://movie-phinf.pstatic.net/20111212_101/1323671778180rA5op_JPEG/movie_image.jpg,"장래가 촉망되는 CF 감독 김인의 꿈은 영화 감독이 되는 것이며, 소설가 백장미는 음악, 미술, 연극, 영화, 문학하는 젊은이들을 위한 깜짝 문화 센터를 만드는 것이 꿈. 의기가 투합한 이들은 장미를 주인공으로 그녀의 베스트셀러 <깜짝 동네 아이들>을 영화화하기로 한다. 영욱과 절구 등이 가세하여 시작된 영화 촬영은 김인과 영욱, 장미의 삼각 관계로 난항을 겪기도 하지만 사랑과 우정으로 속개된다. 그런데 영욱의 아버지가 뇌졸증으로 쓰러진다. 부동산 투기로 부자가 된 그는 허망한 인생을 돌아보고는, 요지의 땅을 깜짝문화센터의 기금으로 영욱에게 준다. 그러자 땅을 노리던 암흑가 보스가 영욱의 아버지를 납치하고, 공수부대출신인 김인과 절구가 구출작전을 편다. 쫓고 쫓기는 대혈투끝에 영욱의 아버지를 구출함으로써 이들의 꿈을 실현시키기 위한 또 한걸음을 내딛는다.",국내,한국,https://www.youtube.com/watch?v=RU5Fv9aoivE,-,-,15세 관람가,95분,-,최양락 김세준 조민수 이경영 ,  이규형 (각본) 전직하 (제작) 이규택 (촬영) 김인규 (조명) 이수만 (음악) 김희수 (편집),-,-,-,   ,https://www.youtube.com/watch?v=bgMJmnSrPuU
7,1990,1990 .06.02 개봉,영화,드라마,남자 시장,유진선,https://movie-phinf.pstatic.net/20111221_111/1324470340156E1TfH_JPEG/movie_image.jpg,"영훈은 물질을 더 사랑해 자신을 떠난 재희에게 복수하려고 쉽고 빨리 돈을 벌 수 있는 호스트 생활을 한다. 그러나 막상 재희가 친구들과 호스트 클럽에 나타나자 자신의 모습에 수치감을 느낀다. 한편 가난 때문에 영훈을 떠났던 재희는 그를 사랑하는 마음이 영원하지만 선뜻 나설 수 없음을 괴로워한다. 이럴 즈음 영훈은 선배 현철의 제안으로 돈 많은 한 여사에게 접근해 작은 의상실이라도 차리려 한다. 그러나 그녀의 남편에게 들켜 모든 희망이 무너지려는 순간 한 여사의 급전으로 도움을 받는다. 호스트 생활을 청산하고 의상실을 여는 날 영훈은 재희와의 재결합으로 들 떠 있다. 그런데 갑자기 그와 관계를 가졌던 40대 주부가 그의 얼굴에 황산을 뿌리고 달아나고, 그의 얼굴은 시커멓게 타 들어간다.",국내,한국,https://www.youtube.com/watch?v=zukm62MUEJA,성일씨네마트,-,청소년 관람불가,105분,-,마흥식 이응경 최민수 ,  김승남 (각본) 강신성일 (제작) 김남진 (촬영) 박창호 (조명) 김미정 (연출부) 오명진 (연출부) 반재동 (연출부) 신병하 (음악) 조삼 (미술) 박순덕 (편집),-,-,-,  ,https://www.youtube.com/watch?v=Vor3xS8N-vw
8,-,-,영화,드라마,내 친구 깨치,정운현,https://ssl.pstatic.net/static/movie/2012/06/dft_img77x110_1.png,은행나무 전설을 바탕으로 소년과 꼬마도깨비의 우정이야기,국내,한국,https://www.youtube.com/watch?v=B_N31JmV3RQ,-,-,-,-,-,홍성민 김진태 최명진 한인수 박순애 ,  주경희 (각본),-,-,-,-,https://www.youtube.com/watch?v=rGe297IydxM
10,2019,"2019 .07.04 재개봉, 1990 .04 개봉",영화,"멜로/로맨스, 드라마",녹색 광선,에릭 로메르,https://movie-phinf.pstatic.net/20111216_292/13240266904456U7Wl_JPEG/movie_image.jpg,"여름 휴가를 이용해 멋진 로맨스를 찾아나선 한 아가씨의 여정을 통해 젊은 날의 소망과 그 성취를 상징하는 '녹색 광선'의 의미를 아름답기 그지없는 시선으로 그린 작품. 사랑에 대한 기대로 관객을 부풀게 만드는 싱그러운 작품이자 노감독 로메르가 사랑에 관한 젊은 날의 혼란과 열망을 느슨한 이야기 속에서 풀어낸 작품으로 평가받고 있다. 86년 베니스 영화제에서 그랑프리인 금곰상을 수상한 이 영화는 국내엔 90년 봄 변두리 극장에서 소문없이 개봉해 1주일만에 문을 닫았다. 영화를 '공부'하려는 사람들을 위한 영화.@  감독 에릭 로메르(Eric Rohmer)는 프랑소와 튀르포, 쟝 루크 고다르, 클로드 샤브롤, 쟝 리베트 등 프랑스 신세대 영화 작가들의 등용문이 된 영화 전문지 '까이에 뒤 시네마(Cahiers De Cinema)'가 배출한 또 한 명의 뛰어난 영화 감독이다. 그는 항상 거의 아마츄어에 가까운 비전문 배우들을 기용해서 일상 속에서 보여지는 보통 사람들의 삶의 모습을 진지하면서도 잔잔하게 그려내고 있다. 이 영화도 그러한 범주에서 벗어나지 않는다. 어느 평론가는 그의 영화를 'Elegant Simplicity'라는 표현으로 요약하고 있다. 그런 그의 작품성을 가장 극명하게 드러낸 영화가 바로 이것이다.@  청순한 소녀 델핀느(Delphine: 마리 라비에르 분)는 여름휴가를 맞이하지만 친구들로부터 함께 휴가를 보낼 기회를 거절당한다. 내성적이고 소심한 그녀는 휴가 기간을 혼자 보내야 하는 외로운 처지에 놓이게 된다. 남자 친구를 구할 수 있기를 내심 바리지만 자신의 성격탓으로 뜻대로 되질 않는다. 그러나 델핀느는 희망을 잃지 않고 있다. 얼마전 친구로부터 녹색은 그녀에게 행운을 가져다 줄거라는 이야기를 들었기 때문이다.@  좋은 일이 생길지 모른다는 친구의 권유에 따라 노르망디에 있는 친구집에서 휴가를 보낸다. 거기에서 델핀느는 남자를 사귀기는 고사하고 그곳 사람들과 잘 어울리지 못하고 불편함을 느낀다. 실망 속에서 델핀느는 집으로 돌아간다. 우연히 비아리츠역에서 만난 한 남자와 몇마디의 대화로 서로가 쉽게 통할 수가 있게 된 델핀느는 그에게 호감을 갖게 된다. 해변에 대양이 바다 수평선 너머로 사라지고 있는 일몰때 둘이는 보기 힘들 정도로 녹색빛을 발하는 바닷가에 지는 태양을 응시하고 있다. 빛의 굴절로 인해 일시적으로 녹색광선 발한다. 델핀느는 녹색의 빛을 향하여 감탄의 소리를 지른다. 결국 그는 꿈을 이룬 것이다.",해외,프랑스,https://www.youtube.com/watch?v=D7mPj2AkFfI,-,-,12세 관람가,98분,-,-,-,-,-,-,       -,https://www.youtube.com/watch?v=D7mPj2AkFfI
13,1990,1990 .12.22 개봉,영화,코미디,뉴욕세남자와아기,레너드 니모이,https://movie-phinf.pstatic.net/20111221_113/13244468967929dPQg_JPEG/movie_image.jpg,"배우인 잭, 건축가인 피터, 만화가인 마이클은 자유분방한 독신남자로서 뉴욕의 한 아파트에서 같이 살고 있다. 어느날 잭의 딸이라는 갓난 아기 메리가 현관 앞에 버려지는데 잭은 영화 촬영 차 외국에 가 있어 피터와 마이클이 어렵게 돌본다. 한편 잭은 떠나면서 친구의 부탁으로 소포를 대신 받아주기로하고는 두 친구에게 소포를 받아두라고 했는데 메리가 들어온 날 경황없이 소포를 받으 마이클은 소포에 대해서 까맣게 잊는다. 몇일후 빈스 일당이 소포를 받으러 오자 메리를 말하는 것인 줄 아라고 메리를 준다. 주고나서 소포를 발겨한 피터는 그 안에 아편이 들어있는 것을 알고 소포를 넘겨주지 않고 메리만 도루 데려온다. 그 과정에서 마약반 멜코위치 반장의 눈에 띄게되어 계속 미행을 당한다. 그러던 중 아편을 찾으러온 빈스 일당은 온 집안을 쑥밭으로 만들어 놓는데 마이클과 피터는 메리가 무사하다는데 안심하여 메리에 대한 정이 깊어짐을 느낀다.",해외,미국,https://www.youtube.com/watch?v=Q3_sVboVFrg,-,-,12세 관람가,102분,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=lrdIR00RwpY
14,1990,1990 .12.29 개봉,영화,"코미디, 드라마",뉴욕의 왕,찰리 채플린,https://movie-phinf.pstatic.net/20111221_179/1324449589971aykQI_JPEG/movie_image.jpg,유럽의 작은 나라 에스트로비아에서 민중의 봉기로 퇴위당한 샤도프 왕(찰리 채플린)은 왕실의 보물과 재산을 빼돌리고 뉴욕으로 도망쳐 오지만 뉴욕으로 온 다음날 샤도프 왕은 에스트로비아 대사(올리버 존스톤)로부터 수상(제리 데스몬드)이 그의 모든 돈을 들고 도망쳤다는 소식을 접하고 일순간에 빈털터리 신세로 전락하게 된다. 절망에 빠진 왕에게 우연히 나타난 TV 탤런트 앤 케이(돈 아담스). 그녀는 샤도프 왕을 TV에 출연시키기 위해 의도적으로 접근을 하고 그녀의 매력에 빠진 왕은 앤과 함께 파티에 간다. 앤은 만찬장에 카메라를 몰래 감춰 두고 왕의 모습을 촬영하여 방송에 내보낸다. 이로 인해 샤도프 왕은 순식간에 유명인사가 된다.@  어느 날 호텔에 들어서던 샤도프 왕은 눈밭에서 떨고 있는 아이를 본다. 이 아이는 한때 왕이 학교를 방문했을 때 만난 적이 있었던 10살짜리 루퍼트 맥커비(마이클 채플린)이라는 천재 소년. 왕은 루퍼트를 자신의 방으로 데려가서 소년의 사정을 들어본다. 한때 교사였던 소년의 부모는 적색분자인 친구를 고발하지 않았다는 이유로 비(非)미 활동 위원회에 조사를 받게 된 것. 루퍼트가 샤도프 왕의 방에서 발각되면서 샤도프 왕 또한 공산주의자로 고발되고 위원회 앞에 선다. 이후 샤도프 왕은 왕비와 화해를 꿈꾸며 유럽행을 결심한다. 떠나기 전에 그는 루퍼트를 방문하고 루퍼트가 부모의 석방을 조건으로 위원회에 정보를 제공해 왔다는 것을 알게 된다.,해외,영국,https://www.youtube.com/watch?v=_Cv5497MHjM,-,-,전체 관람가,100분,-,돈 아담스 찰리 채플린 ,  찰리 채플린 Charles Chaplin (각본) 믹키 디라마 Mickey Delamar (프로듀서) 에디 파이크 Eddie Pike (프로듀서) 찰리 채플린 Charles Chaplin (제작) 조지 페리날 Georges Perinal (촬영) 르네 듀폰트 Rene Dupont (조연출) 찰리 채플린 Charles Chaplin (음악) 알란 해리스 Allan Harris (미술) 존 시보른 시니어 John Seabourne Sr. (편집),-,-,-,   ,https://www.youtube.com/watch?v=L281Q82jAMA
